Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780949657,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949658,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949659,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949660,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949661,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949662,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949663,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949664,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949665,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949666,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949667,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949668,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949669,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949670,5,,Aggregated,0.000000,0.000000,19000,30000,44000,44000,45000,60000,60000,60000,60000,60000,60000,12,0,19000,24671.72474383248,121.12542500108248,59530.888784000126,286.0
1780949671,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,14,0,19000,25494.60047464215,121.12542500108248,60685.63453100069,289.57142857142856
1780949672,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,14,0,19000,25494.60047464215,121.12542500108248,60685.63453100069,289.57142857142856
1780949673,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949674,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949675,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949676,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949677,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949678,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949679,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949680,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949681,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949682,5,,Aggregated,0.000000,0.000000,19000,32000,44000,45000,60000,61000,61000,61000,61000,61000,61000,15,0,19000,25922.813288666173,121.12542500108248,60685.63453100069,289.0
1780949683,5,,Aggregated,0.100000,0.000000,30000,32000,45000,45000,61000,61000,61000,61000,61000,61000,61000,16,0,19000,28085.221576874574,121.12542500108248,60685.63453100069,290.375
1780949684,5,,Aggregated,0.100000,0.000000,19000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,17,0,19000,26452.071968117227,121.12542500108248,60685.63453100069,291.5882352941176
1780949685,5,,Aggregated,0.100000,0.000000,19000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,17,0,19000,26452.071968117227,121.12542500108248,60685.63453100069,291.5882352941176
1780949686,5,,Aggregated,0.100000,0.000000,19000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,17,0,19000,26452.071968117227,121.12542500108248,60685.63453100069,291.5882352941176
1780949687,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949688,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
